YEAR,HEIGHTM,TOTMEMBERS,success,O2USED,HOST_FACTOR,has_deaths
2022,8188,8,0,0,Nepal,0
2022,6258,2,0,0,Nepal,0
2022,6859,5,1,0,Nepal,0
2022,6419,1,1,0,Nepal,0
2022,8167,3,0,0,Nepal,0
2022,8167,20,0,0,Nepal,0
2022,8167,9,0,0,Nepal,0
2022,8167,2,0,0,Nepal,0
2022,7751,2,0,0,Nepal,0
2022,6536,8,0,0,Nepal,0
2022,6332,5,1,0,Nepal,0
2022,8849,7,0,0,Nepal,0
2022,6378,4,0,0,Nepal,0
2022,6378,7,1,0,Nepal,0
2022,7074,4,0,0,Nepal,0
2022,6151,4,0,0,Nepal,0
2022,7126,3,1,0,Nepal,0
2022,7126,15,0,0,Nepal,0
2022,7126,7,0,0,Nepal,0
2022,7126,8,1,0,Nepal,0
2022,7126,15,1,0,Nepal,0
2022,7126,15,1,0,Nepal,0
2022,7126,8,1,0,Nepal,0
2022,7126,14,1,0,Nepal,0
2022,7126,10,1,0,Nepal,0
2022,7126,10,1,0,Nepal,0
2022,7126,10,1,0,Nepal,0
2022,7126,13,1,0,Nepal,0
2022,7126,6,1,0,Nepal,0
2022,7126,6,1,0,Nepal,0
2022,7126,4,1,0,Nepal,0
2022,6833,2,0,0,Nepal,0
2022,6764,2,0,0,Nepal,0
2022,7460,4,0,0,Nepal,0
2022,7711,4,0,0,Nepal,0
2022,6484,8,1,0,Nepal,0
2022,6484,4,0,0,Nepal,0
2022,6983,8,0,0,Nepal,0
2022,7227,3,0,0,Nepal,0
2022,7227,3,0,0,Nepal,0
2022,6721,19,0,0,Nepal,0
2022,6628,2,0,0,Nepal,0
2022,6895,3,0,0,Nepal,0
2022,8163,0,1,1,Nepal,0
2022,8163,35,1,1,Nepal,0
2022,8163,14,1,1,Nepal,0
2022,8163,15,0,1,Nepal,0
2022,8163,14,1,0,Nepal,0
2022,8163,16,1,1,Nepal,0
2022,8163,15,0,1,Nepal,0
2022,8163,16,1,1,Nepal,0
2022,8163,8,1,1,Nepal,0
2022,8163,15,1,1,Nepal,0
2022,8163,3,1,1,Nepal,0
2022,8163,29,1,1,Nepal,0
2022,8163,17,1,1,Nepal,0
2022,8163,12,1,1,Nepal,0
2022,8163,13,1,1,Nepal,0
2022,8163,9,0,0,Nepal,0
2022,8163,5,1,1,Nepal,1
2022,8163,8,1,1,Nepal,0
2022,8163,10,0,1,Nepal,0
2022,8163,2,1,1,Nepal,0
2022,8163,8,0,0,Nepal,0
2022,8163,4,0,0,Nepal,0
2022,8163,9,1,1,Nepal,0
2022,8163,7,0,0,Nepal,0
2022,8163,4,1,1,Nepal,0
2022,8163,15,1,0,Nepal,0
2022,8163,10,1,1,Nepal,0
2022,8163,14,0,0,Nepal,0
2022,8163,5,0,0,Nepal,0
2022,8163,11,0,0,Nepal,0
2022,8163,9,1,1,Nepal,0
2022,8163,4,0,0,Nepal,0
2022,8163,10,0,0,Nepal,0
2022,8163,1,0,0,Nepal,0
2022,8163,7,0,0,Nepal,0
2022,8163,9,1,0,Nepal,0
2022,8163,9,1,1,Nepal,0
2022,8163,3,1,1,Nepal,0
2022,8163,11,0,0,Nepal,0
2022,8163,3,0,0,Nepal,0
2022,8163,1,0,0,Nepal,0
2022,8163,4,1,1,Nepal,0
2022,5608,4,1,0,Nepal,0
2022,6145,2,1,0,Nepal,0
2022,6687,2,0,0,Nepal,0
2022,6524,3,0,0,Nepal,0
2022,6372,7,0,0,Nepal,0
2022,7138,4,0,0,Nepal,0
2022,7138,3,0,0,Nepal,0
2022,7246,3,0,0,Nepal,0
2022,6647,2,1,0,Nepal,0
2022,6164,2,0,0,Nepal,0
2022,6432,5,0,0,Nepal,0
2022,6611,2,0,0,Nepal,0
2022,6611,2,0,0,Nepal,0
2022,6141,3,1,0,Nepal,0
2022,6618,2,0,0,Nepal,0
2022,6482,2,0,0,Nepal,0
2023,6814,13,1,0,Nepal,0
2023,6814,6,0,0,Nepal,0
2023,6814,8,1,0,Nepal,0
2023,6814,10,1,0,Nepal,0
2023,6814,12,1,0,Nepal,0
2023,6814,13,1,0,Nepal,0
2023,6814,12,1,0,Nepal,0
2023,6814,5,1,0,Nepal,0
2023,8091,7,1,1,Nepal,0
2023,8091,6,1,1,Nepal,0
2023,8091,21,1,1,Nepal,1
2023,8091,2,0,0,Nepal,0
2023,8091,2,1,0,Nepal,0
2023,8091,8,1,1,Nepal,0
2023,8091,10,1,1,Nepal,0
2023,8091,1,1,1,Nepal,0
2023,7152,9,0,0,Nepal,0
2023,6476,3,1,0,Nepal,0
2023,6476,2,0,0,Nepal,0
2023,6142,3,1,0,Nepal,0
2023,8188,3,1,1,China,0
2023,8167,15,1,1,Nepal,0
2023,8167,11,1,1,Nepal,0
2023,8167,3,0,1,Nepal,0
2023,8167,2,1,0,Nepal,0
2023,8167,5,1,1,Nepal,0
2023,8167,1,1,1,Nepal,0
2023,8849,0,1,1,Nepal,0
2023,8849,15,1,1,Nepal,0
2023,8849,18,1,1,Nepal,0
2023,8849,6,1,1,Nepal,1
2023,8849,11,1,1,Nepal,0
2023,8849,19,1,1,Nepal,1
2023,8849,2,1,1,Nepal,0
2023,8849,36,1,1,Nepal,0
2023,8849,14,1,1,Nepal,0
2023,8849,13,1,1,Nepal,1
2023,8849,15,1,1,Nepal,0
2023,8849,10,1,1,Nepal,0
2023,8849,5,1,1,Nepal,0
2023,8849,2,1,1,Nepal,0
2023,8849,22,1,1,Nepal,0
2023,8849,17,1,1,Nepal,1
2023,8849,7,1,1,Nepal,0
2023,8849,4,1,1,Nepal,0
2023,8849,5,1,1,Nepal,0
2023,8849,10,1,1,Nepal,0
2023,8849,30,1,1,Nepal,1
2023,8849,22,1,1,Nepal,0
2023,8849,7,1,1,Nepal,0
2023,8849,1,1,1,Nepal,0
2023,8849,3,0,0,Nepal,0
2023,8849,29,1,1,Nepal,0
2023,8849,31,1,1,Nepal,0
2023,8849,11,1,1,Nepal,0
2023,8849,13,1,1,Nepal,0
2023,8849,15,1,1,Nepal,1
2023,8849,3,1,1,Nepal,0
2023,8849,14,1,1,Nepal,0
2023,8849,10,1,1,Nepal,0
2023,8849,12,1,1,Nepal,0
2023,8849,3,1,1,Nepal,0
2023,8849,6,1,1,Nepal,0
2023,8849,10,1,1,Nepal,1
2023,8849,5,1,1,Nepal,0
2023,8849,8,1,1,Nepal,0
2023,8849,2,1,1,Nepal,0
2023,8849,3,1,1,Nepal,0
2023,8849,1,1,1,Nepal,0
2023,8849,4,1,1,Nepal,0
2023,8849,5,1,1,Nepal,1
2023,8849,3,0,1,Nepal,0
2023,8849,1,0,1,Nepal,1
2023,8849,8,1,1,Nepal,0
2023,8849,1,1,1,Nepal,0
2023,8849,14,1,1,China,0
2023,8849,4,0,1,China,0
2023,6632,6,1,0,Nepal,0
2023,7126,13,0,0,Nepal,0
2023,7126,4,1,0,Nepal,0
2023,7126,24,1,0,Nepal,0
2023,6764,2,1,0,Nepal,0
2023,6473,8,0,0,Nepal,0
2023,7318,4,1,0,Nepal,0
2023,8586,7,1,1,Nepal,0
2023,8586,15,0,1,Nepal,0
2023,8586,6,1,1,Nepal,0
2023,8586,16,1,1,Nepal,1
2023,8586,1,1,1,Nepal,0
2022,7362,3,0,0,India,0
2023,6048,4,0,0,Nepal,0
2023,8516,0,1,1,Nepal,0
2023,8516,4,1,1,Nepal,0
2023,8516,7,1,1,Nepal,0
2023,8516,12,1,1,Nepal,0
2023,8516,7,1,1,Nepal,0
2023,8516,9,1,1,Nepal,0
2023,8516,2,1,1,Nepal,0
2023,8516,2,1,1,Nepal,0
2023,8516,4,1,1,Nepal,0
2023,8516,10,1,1,Nepal,0
2023,8516,35,1,1,Nepal,0
2023,8516,1,1,1,Nepal,0
2023,8516,8,1,1,Nepal,0
2023,8516,9,1,1,Nepal,0
2023,8516,15,1,1,Nepal,0
2023,8516,8,1,1,Nepal,0
2023,8516,6,1,1,Nepal,0
2023,8516,1,1,1,Nepal,0
2023,8516,1,1,0,Nepal,0
2023,8516,1,1,1,Nepal,0
2022,6857,3,1,0,India,0
2023,6119,2,0,0,Nepal,0
2023,8485,21,1,1,Nepal,0
2023,8485,11,1,1,Nepal,0
2023,8485,1,1,1,Nepal,0
2023,8485,9,1,1,Nepal,0
2023,8485,3,0,0,Nepal,0
2023,8485,4,1,1,Nepal,0
2023,8485,4,1,1,Nepal,0
2023,8485,5,0,0,Nepal,0
2023,8485,4,0,1,Nepal,0
2023,8485,4,0,0,Nepal,0
2023,8163,3,0,0,Nepal,0
2023,8163,2,1,0,Nepal,0
2023,8163,1,1,1,Nepal,0
2023,8163,3,0,0,Nepal,0
2023,8163,7,0,0,Nepal,0
2023,7864,4,1,1,Nepal,0
2023,7864,2,1,0,Nepal,0
2023,7138,7,0,1,Nepal,0
2023,7138,2,1,0,Nepal,0
2023,7138,5,0,0,Nepal,0
2023,7035,6,0,0,Nepal,0
2022,6564,2,0,0,Nepal,0
2023,6395,2,1,0,Nepal,0
2023,6938,2,0,0,Nepal,0
2023,6758,2,0,0,Nepal,0
2023,6814,11,1,0,Nepal,0
2023,6814,11,1,0,Nepal,0
2023,6814,8,1,0,Nepal,0
2023,6814,8,1,0,Nepal,0
2023,6814,18,1,0,Nepal,0
2023,6814,17,1,0,Nepal,0
2023,6814,16,1,0,Nepal,0
2023,6814,11,1,0,Nepal,0
2023,6814,12,1,0,Nepal,0
2023,6814,10,1,0,Nepal,0
2023,6814,30,1,0,Nepal,0
2023,6814,14,1,0,Nepal,0
2023,6814,12,1,0,Nepal,0
2023,6814,15,1,0,Nepal,0
2023,6814,30,1,0,Nepal,0
2023,6814,10,1,0,Nepal,0
2023,6814,15,1,0,Nepal,0
2023,6814,23,1,0,Nepal,0
2023,6814,14,1,0,Nepal,0
2023,6814,6,1,0,Nepal,0
2023,6814,15,1,0,Nepal,0
2023,6814,14,1,0,Nepal,0
2023,6814,10,1,0,Nepal,0
2023,6814,6,1,0,Nepal,0
2023,6814,17,1,0,Nepal,0
2023,6814,10,1,0,Nepal,0
